CC4CL liquid cloud optical properties 
channels:  055 067 086 160 373 1081 1201
effective radii:       1.00000      3.00000      5.00000      7.00000
      9.00000      11.0000      13.0000      15.0000      17.0000      19.0000
      21.0000      23.0000
Asymmetry parameter
     0.762278     0.830366     0.846934     0.855299     0.861104     0.864464
     0.866810     0.868830     0.870274     0.871507     0.872437     0.873655
     0.783428     0.822571     0.843815     0.853072     0.858816     0.862701
     0.865760     0.868070     0.869782     0.871269     0.872397     0.873300
     0.818768     0.807362     0.836415     0.847880     0.855308     0.859805
     0.864109     0.866568     0.868380     0.869982     0.871233     0.872150
     0.827948     0.785390     0.802836     0.828255     0.842266     0.849973
     0.855060     0.859668     0.863104     0.866163     0.868552     0.870674
     0.626871     0.819327     0.783379     0.766986     0.788780     0.811922
     0.829410     0.842919     0.852329     0.860446     0.866794     0.872355
     0.123790     0.637686     0.818826     0.884396     0.917850     0.935058
     0.945846     0.953552     0.958561     0.962524     0.965331     0.967567
    0.0992272     0.569163     0.779789     0.857977     0.897768     0.918414
     0.931523     0.941019     0.947273     0.952266     0.955813     0.958629
Single scattering albedo
      1.00000      1.00000      1.00000      1.00000      1.00000      1.00000
      1.00000      1.00000      1.00000      1.00000      1.00000      1.00000
      1.00000      1.00000      1.00000      1.00000      1.00000      1.00000
      1.00000      1.00000      1.00000      1.00000      1.00000      1.00000
      1.00000      1.00000      1.00000      1.00000      1.00000      1.00000
      1.00000      1.00000      1.00000      1.00000      1.00000      1.00000
     0.999377     0.998188     0.996659     0.995280     0.993941     0.992746
     0.991526     0.990282     0.989145     0.987935     0.986817     0.985718
     0.966989     0.976486     0.957191     0.932168     0.910892     0.894659
     0.880104     0.865600     0.852920     0.839949     0.828469     0.817487
    0.0362329     0.215497     0.331074     0.403678     0.453049     0.482326
     0.501215     0.513703     0.520288     0.523692     0.524521     0.523860
    0.0214213     0.145540     0.234361     0.296067     0.342326     0.373030
     0.395875     0.414446     0.427753     0.439061     0.447504     0.454466
