platform	month	eq. cross. time	node
TIROSN	1979-01-01	15:02:14.933535	ascending
TIROSN	1979-02-01	15:03:21.056884	ascending
TIROSN	1979-03-01	15:04:21.292772	ascending
TIROSN	1979-04-01	15:05:40.645118	ascending
TIROSN	1979-05-01	15:06:52.330696	ascending
TIROSN	1979-06-01	15:08:11.204629	ascending
TIROSN	1979-07-01	15:09:40.547153	ascending
TIROSN	1979-09-01	15:12:22.009999	ascending
TIROSN	1979-10-01	15:14:00.260773	ascending
TIROSN	1979-11-01	15:15:41.779151	ascending
TIROSN	1979-12-01	15:17:13.505795	ascending
TIROSN	1980-01-01	15:19:02.605971	ascending
NOAA6	1980-01-01	19:33:56.766774	ascending
NOAA6	1980-02-01	19:34:46.336711	ascending
NOAA6	1980-03-01	19:34:55.560266	ascending
NOAA6	1980-04-01	19:35:35.691082	ascending
NOAA6	1980-05-01	19:36:04.692474	ascending
NOAA6	1980-06-01	19:36:29.004948	ascending
NOAA6	1980-07-01	19:36:57.552346	ascending
NOAA6	1980-08-01	19:37:22.560710	ascending
NOAA6	1980-09-01	19:37:45.818671	ascending
NOAA6	1980-10-01	19:37:44.571547	ascending
NOAA6	1980-11-01	19:38:17.128390	ascending
NOAA6	1980-12-01	19:38:44.430838	ascending
NOAA6	1981-01-01	19:38:49.693992	ascending
NOAA6	1981-02-01	19:39:03.057320	ascending
NOAA6	1981-03-01	19:39:03.524861	ascending
NOAA6	1981-04-01	19:39:11.712394	ascending
NOAA6	1981-05-01	19:39:14.531214	ascending
NOAA6	1981-06-01	19:39:16.784104	ascending
NOAA6	1981-07-01	19:39:01.309438	ascending
NOAA6	1981-08-01	19:39:08.494603	ascending
NOAA7	1981-08-01	14:30:58.381891	ascending
NOAA7	1981-09-01	14:31:55.561499	ascending
NOAA7	1981-10-01	14:32:51.496177	ascending
NOAA7	1981-11-01	14:33:50.982235	ascending
NOAA7	1981-12-01	14:34:57.928417	ascending
NOAA7	1982-01-01	14:36:11.264140	ascending
NOAA7	1982-02-01	14:37:32.294142	ascending
NOAA7	1982-03-01	14:38:42.104676	ascending
NOAA7	1982-04-01	14:39:59.081933	ascending
NOAA7	1982-05-01	14:41:35.332308	ascending
NOAA7	1982-06-01	14:43:15.726124	ascending
NOAA7	1982-07-01	14:44:56.268223	ascending
NOAA7	1982-08-01	14:46:23.561577	ascending
NOAA7	1982-09-01	14:48:05.593560	ascending
NOAA7	1982-10-01	14:49:50.068444	ascending
NOAA7	1982-11-01	14:51:37.478216	ascending
NOAA7	1982-12-01	14:53:31.018097	ascending
NOAA7	1983-01-01	14:55:23.579126	ascending
NOAA7	1983-02-01	14:57:34.387792	ascending
NOAA7	1983-03-01	14:59:31.281667	ascending
NOAA7	1983-04-01	15:01:41.960271	ascending
NOAA7	1983-05-01	15:03:56.343264	ascending
NOAA7	1983-06-01	15:06:06.190922	ascending
NOAA7	1983-07-01	15:08:35.783510	ascending
NOAA7	1983-08-01	15:11:06.405993	ascending
NOAA7	1983-09-01	15:13:26.803133	ascending
NOAA7	1983-10-01	15:15:51.732984	ascending
NOAA7	1983-11-01	15:18:26.587143	ascending
NOAA7	1983-12-01	15:20:56.215355	ascending
NOAA7	1984-01-01	15:23:46.502068	ascending
NOAA7	1984-02-01	15:26:40.259230	ascending
NOAA7	1984-03-01	15:29:14.650310	ascending
NOAA7	1984-05-01	15:35:06.763058	ascending
NOAA7	1984-06-01	15:38:26.791791	ascending
NOAA7	1984-07-01	15:41:11.673193	ascending
NOAA7	1984-08-01	15:44:27.708841	ascending
NOAA7	1984-09-01	15:47:21.776972	ascending
NOAA7	1984-10-01	15:50:21.020217	ascending
NOAA7	1984-11-01	15:54:13.786126	ascending
NOAA7	1984-12-01	15:57:17.470669	ascending
NOAA7	1985-01-01	16:00:44.470234	ascending
NOAA8	1983-09-01	19:33:44.210237	ascending
NOAA8	1983-10-01	19:34:31.311755	ascending
NOAA8	1983-11-01	19:35:08.941321	ascending
NOAA8	1983-12-01	19:35:41.936586	ascending
NOAA8	1984-02-01	19:36:44.474620	ascending
NOAA8	1984-03-01	19:37:13.126601	ascending
