platform	month	eq. cross. time	node
AVTIN	1979-01-01	15:02:14.933535	ascending
AVTIN	1979-02-01	15:03:21.056884	ascending
AVTIN	1979-03-01	15:04:21.292772	ascending
AVTIN	1979-04-01	15:05:40.645118	ascending
AVTIN	1979-05-01	15:06:52.330696	ascending
AVTIN	1979-06-01	15:08:11.204629	ascending
AVTIN	1979-07-01	15:09:40.547153	ascending
AVTIN	1979-09-01	15:12:22.009999	ascending
AVTIN	1979-10-01	15:14:00.260773	ascending
AVTIN	1979-11-01	15:15:41.779151	ascending
AVTIN	1979-12-01	15:17:13.505795	ascending
AVTIN	1980-01-01	15:19:02.605971	ascending
AVN06	1980-02-01	07:34:35.453847	descending
AVN06	1980-04-01	07:35:28.932655	descending
AVN06	1980-07-01	07:36:57.426214	descending
AVN06	1980-08-01	07:37:17.035965	descending
AVN06	1980-11-01	07:38:16.968480	descending
AVN06	1980-12-01	07:38:39.820916	descending
AVN06	1981-01-01	07:38:31.712848	descending
AVN06	1981-03-01	07:39:02.123211	descending
AVN06	1981-04-01	07:39:08.665621	descending
AVN07	1981-08-01	14:30:58.381891	ascending
AVN07	1981-09-01	14:31:55.561499	ascending
AVN07	1981-10-01	14:32:51.496177	ascending
AVN07	1981-11-01	14:33:50.982235	ascending
AVN07	1981-12-01	14:34:57.928417	ascending
AVN07	1982-01-01	14:36:11.264140	ascending
AVN07	1982-02-01	14:37:32.294142	ascending
AVN07	1982-03-01	14:38:42.104676	ascending
AVN07	1982-04-01	14:39:59.081933	ascending
AVN07	1982-05-01	14:41:35.332308	ascending
AVN07	1982-06-01	14:43:15.726124	ascending
AVN07	1982-07-01	14:44:56.268223	ascending
AVN07	1982-08-01	14:46:23.561577	ascending
AVN07	1982-09-01	14:48:05.593560	ascending
AVN07	1982-10-01	14:49:50.068444	ascending
AVN07	1982-11-01	14:51:37.478216	ascending
AVN07	1982-12-01	14:53:31.018097	ascending
AVN07	1983-01-01	14:55:23.579126	ascending
AVN07	1983-02-01	14:57:34.387792	ascending
AVN07	1983-03-01	14:59:31.281667	ascending
AVN07	1983-04-01	15:01:41.960271	ascending
AVN07	1983-05-01	15:03:56.343264	ascending
AVN07	1983-06-01	15:06:06.190922	ascending
AVN07	1983-07-01	15:08:35.783510	ascending
AVN07	1983-08-01	15:11:06.405993	ascending
AVN07	1983-09-01	15:13:26.803133	ascending
AVN07	1983-10-01	15:15:51.732984	ascending
AVN07	1983-11-01	15:18:26.587143	ascending
AVN07	1983-12-01	15:20:56.215355	ascending
AVN07	1984-01-01	15:23:46.502068	ascending
AVN07	1984-02-01	15:26:40.259230	ascending
AVN07	1984-03-01	15:29:14.650310	ascending
AVN07	1984-05-01	15:35:06.763058	ascending
AVN07	1984-06-01	15:38:26.791791	ascending
AVN07	1984-07-01	15:41:11.673193	ascending
AVN07	1984-08-01	15:44:27.708841	ascending
AVN07	1984-09-01	15:47:21.776972	ascending
AVN07	1984-10-01	15:50:21.020217	ascending
AVN07	1984-11-01	15:54:13.786126	ascending
AVN07	1984-12-01	15:57:17.470669	ascending
AVN07	1985-01-01	16:00:44.470234	ascending
AVN08	1983-10-01	07:34:07.847507	descending
AVN08	1983-11-01	07:35:00.421803	descending
AVN08	1984-03-01	07:37:02.229126	descending
AVN08	1984-05-01	07:37:48.225045	descending
AVN08	1984-06-01	07:37:48.978069	descending
AVN08			descending
AVN08			descending
AVN08			descending
AVN08			descending
AVN08			descending
AVN08			descending
AVN08			descending
AVN08			descending
AVN08			descending
AVN08			descending
AVN08			descending
AVN08			descending
AVN08	1985-08-01	07:37:57.329722	descending
AVN08	1985-10-01	07:36:39.382490	descending
AVN09	1985-02-01	14:20:45.562677	ascending
AVN09	1985-04-01	14:23:07.342311	ascending
AVN09	1985-05-01	14:24:23.193143	ascending
AVN09	1985-07-01	14:27:05.472809	ascending
AVN09	1985-08-01	14:28:31.277776	ascending
AVN09	1985-09-01	14:29:57.120762	ascending
AVN09	1985-10-01	14:31:22.605853	ascending
AVN09	1985-11-01	14:32:57.987815	ascending
AVN09	1985-12-01	14:34:45.361851	ascending
AVN09	1986-01-01	14:36:19.009307	ascending
AVN09	1986-02-01	14:38:06.999380	ascending
AVN09	1986-03-01	14:40:04.642148	ascending
AVN09	1986-04-01	14:41:43.387865	ascending
AVN09	1986-05-01	14:43:39.097662	ascending
AVN09	1986-09-01	14:52:02.416051	ascending
AVN09	1986-10-01	14:54:13.740689	ascending
AVN09	1986-11-01	14:56:27.955190	ascending
AVN09	1986-12-01	14:58:52.396212	ascending
AVN09	1987-01-01	15:01:24.311095	ascending
AVN09	1987-02-01	15:03:47.025979	ascending
AVN09	1987-03-01	15:06:02.694897	ascending
AVN09	1987-04-01	15:08:43.948949	ascending
AVN09	1987-05-01	15:11:27.048871	ascending
AVN09	1987-06-01	15:14:17.835805	ascending
AVN09	1987-07-01	15:16:57.272120	ascending
AVN09	1987-08-01	15:19:50.041380	ascending
AVN09	1987-09-01	15:22:43.260278	ascending
AVN09	1987-10-01	15:25:43.024794	ascending
AVN09	1987-11-01	15:28:46.199582	ascending
AVN09	1987-12-01	15:31:38.420571	ascending
AVN09	1988-01-01	15:34:39.484847	ascending
AVN09	1988-02-01	15:38:08.903663	ascending
AVN09	1988-03-01	15:41:13.506755	ascending
AVN09	1988-04-01	15:44:33.929113	ascending
AVN09	1988-05-01	15:47:56.172653	ascending
AVN09	1988-06-01	15:51:24.775658	ascending
AVN09	1988-07-01	15:54:50.001266	ascending
AVN09	1988-08-01	15:58:16.882766	ascending
AVN09	1988-09-01	16:02:02.033090	ascending
AVN09	1988-10-01	16:05:33.463622	ascending
AVN09	1988-11-01	16:09:24.831186	ascending
AVN10	1986-12-01	07:31:08.336039	descending
AVN10	1987-01-01	07:32:07.095110	descending
AVN10	1987-05-01	07:34:18.195530	descending
AVN10	1987-07-01	07:35:05.127369	descending
AVN10	1987-08-01	07:35:27.957210	descending
AVN10	1987-10-01	07:36:43.031470	descending
AVN10	1987-11-01	07:36:42.290352	descending
AVN10	1988-01-01	07:37:02.352258	descending
AVN10	1988-02-01	07:37:18.293163	descending
AVN10	1988-03-01	07:37:11.680571	descending
AVN10	1988-04-01	07:37:01.797294	descending
AVN10	1988-06-01	07:37:17.938820	descending
AVN10	1988-07-01	07:37:00.896644	descending
AVN10	1988-10-01	07:36:40.788039	descending
AVN10	1988-12-01	07:35:46.463581	descending
AVN10	1989-01-01	07:35:27.570050	descending
AVN10	1989-02-01	07:35:18.959997	descending
AVN10	1989-03-01	07:34:50.594467	descending
AVN10	1989-04-01	07:34:04.047058	descending
AVN10	1989-07-01	07:32:48.986212	descending
AVN10	1989-08-01	07:31:54.144323	descending
AVN10	1989-09-01	07:31:22.500995	descending
AVN10	1989-12-01	07:29:15.024391	descending
AVN10	1990-01-01	07:28:31.396596	descending
AVN10	1990-02-01	07:27:54.238851	descending
AVN10	1991-03-01	07:14:28.805523	descending
AVN10	1991-08-01	07:07:35.886365	descending
AVN10	1991-09-01	07:06:09.412728	descending
AVN11	1988-11-01	13:39:53.756264	ascending
AVN11	1988-12-01	13:40:40.259548	ascending
AVN11	1989-01-01	13:41:23.158439	ascending
AVN11	1989-02-01	13:42:33.318108	ascending
AVN11	1989-03-01	13:43:18.104274	ascending
AVN11	1989-04-01	13:44:17.971676	ascending
AVN11	1989-05-01	13:45:23.251826	ascending
AVN11	1989-06-01	13:46:28.052115	ascending
AVN11	1989-07-01	13:47:39.386174	ascending
AVN11	1989-08-01	13:48:57.792313	ascending
AVN11	1989-09-01	13:50:09.805645	ascending
AVN11	1989-10-01	13:51:25.655190	ascending
AVN11	1989-11-01	13:52:49.588921	ascending
AVN11	1989-12-01	13:54:16.351092	ascending
AVN11	1990-01-01	13:55:49.848290	ascending
AVN11	1990-02-01	13:57:24.510031	ascending
AVN11	1990-03-01	13:58:55.421991	ascending
AVN11	1990-04-01	14:00:44.164118	ascending
AVN11	1990-05-01	14:02:25.444227	ascending
AVN11	1990-06-01	14:04:21.134286	ascending
AVN11	1990-07-01	14:06:08.851331	ascending
AVN11	1990-08-01	14:08:05.629145	ascending
AVN11	1990-09-01	14:10:04.097090	ascending
AVN11	1990-10-01	14:12:02.830107	ascending
AVN11	1990-11-01	14:14:10.523532	ascending
AVN11	1990-12-01	14:16:15.038929	ascending
AVN11	1991-01-01	14:18:35.764566	ascending
AVN11	1991-02-01	14:20:55.409583	ascending
AVN11	1991-03-01	14:23:05.787215	ascending
AVN11	1991-04-01	14:25:36.036326	ascending
AVN11	1991-05-01	14:28:05.586885	ascending
AVN11	1991-06-01	14:30:47.889058	ascending
AVN11	1991-07-01	14:33:21.131938	ascending
AVN11	1991-08-01	14:36:02.726074	ascending
AVN11	1991-09-01	14:38:51.104804	ascending
AVN11	1991-10-01	14:41:35.348732	ascending
AVN11	1991-11-01	14:44:32.122706	ascending
AVN11	1991-12-01	14:47:30.485188	ascending
AVN11	1992-01-01	14:50:31.679435	ascending
AVN11	1992-02-01	14:53:41.875269	ascending
AVN11	1992-03-01	14:56:43.465931	ascending
AVN11	1992-04-01	15:00:01.802650	ascending
AVN11	1992-05-01	15:03:19.516459	ascending
AVN11	1992-06-01	15:06:48.320752	ascending
AVN11	1992-07-01	15:10:11.774150	ascending
AVN11	1992-08-01	15:13:43.374575	ascending
AVN11	1992-09-01	15:17:19.690779	ascending
AVN11	1992-10-01	15:20:51.371756	ascending
AVN11	1992-11-01	15:24:36.065506	ascending
AVN11	1992-12-01	15:28:17.397085	ascending
AVN11	1993-01-01	15:32:09.047141	ascending
AVN11	1993-02-01	15:36:04.006564	ascending
AVN11	1993-03-01	15:39:40.938021	ascending
AVN11	1993-04-01	15:43:45.888939	ascending
AVN11	1993-05-01	15:47:46.091610	ascending
AVN11	1993-06-01	15:51:58.559827	ascending
AVN11	1993-07-01	15:56:00.226110	ascending
