platform	month	eq. cross. time	node
AVTIN	1979-01-01	03:01:57.748813	descending
AVTIN	1979-02-01	03:03:17.881641	descending
AVTIN	1979-03-01	03:04:20.191223	descending
AVTIN	1979-04-01	03:05:26.039123	descending
AVTIN	1979-05-01	03:06:32.834133	descending
AVTIN	1979-09-01	03:12:02.122006	descending
AVTIN	1979-10-01	03:13:51.025426	descending
AVTIN	1980-01-01	03:18:43.140868	descending
AVN06	1980-01-01	19:33:56.766774	ascending
AVN06	1980-02-01	19:34:46.336711	ascending
AVN06	1980-03-01	19:34:55.560266	ascending
AVN06	1980-04-01	19:35:35.691082	ascending
AVN06	1980-05-01	19:36:04.692474	ascending
AVN06	1980-06-01	19:36:29.004948	ascending
AVN06	1980-07-01	19:36:57.552346	ascending
AVN06	1980-08-01	19:37:22.560710	ascending
AVN06	1980-09-01	19:37:45.818671	ascending
AVN06	1980-10-01	19:37:44.571547	ascending
AVN06	1980-11-01	19:38:17.128390	ascending
AVN06	1980-12-01	19:38:44.430838	ascending
AVN06	1981-01-01	19:38:49.693992	ascending
AVN06	1981-02-01	19:39:03.057320	ascending
AVN06	1981-03-01	19:39:03.524861	ascending
AVN06	1981-04-01	19:39:11.712394	ascending
AVN06	1981-05-01	19:39:14.531214	ascending
AVN06	1981-06-01	19:39:16.784104	ascending
AVN06	1981-07-01	19:39:01.309438	ascending
AVN06	1981-08-01	19:39:08.494603	ascending
AVN07	1981-09-01	02:31:34.556757	descending
AVN07	1981-10-01	02:32:39.508786	descending
AVN07	1981-11-01	02:33:52.817694	descending
AVN07	1981-12-01	02:34:52.490113	descending
AVN07	1982-01-01	02:35:51.224602	descending
AVN07	1982-05-01	02:41:17.861614	descending
AVN07	1982-07-01	02:44:54.412364	descending
AVN07	1982-10-01	02:49:30.472964	descending
AVN07	1983-01-01	02:55:10.559018	descending
AVN07	1983-03-01	02:59:23.297519	descending
AVN07	1983-04-01	03:01:43.882394	descending
AVN07	1983-06-01	03:05:45.216399	descending
AVN07	1983-07-01	03:08:24.592602	descending
AVN07	1983-10-01	03:15:31.550356	descending
AVN07	1983-11-01	03:18:12.878214	descending
AVN07	1984-01-01	03:23:43.040356	descending
AVN07	1984-02-01	03:26:21.281321	descending
AVN07	1984-05-01	03:35:06.014437	descending
AVN07	1984-06-01	03:38:10.466496	descending
AVN07	1984-08-01	03:44:23.782061	descending
AVN07	1984-09-01	03:47:22.611044	descending
AVN07	1984-12-01	03:57:10.995726	descending
AVN07	1985-01-01	04:00:46.285742	descending
AVN08	1983-09-01	19:33:44.210237	ascending
AVN08	1983-10-01	19:34:31.311755	ascending
AVN08	1983-11-01	19:35:08.941321	ascending
AVN08	1983-12-01	19:35:41.936586	ascending
AVN08	1984-02-01	19:36:44.474620	ascending
AVN08	1984-03-01	19:37:13.126601	ascending
AVN08	1984-04-01	19:37:35.943378	ascending
AVN08	1984-05-01	19:37:55.256435	ascending
AVN08	1984-06-01	19:38:12.434328	ascending
AVN08			ascending
AVN08			ascending
AVN08			ascending
AVN08			ascending
AVN08			ascending
AVN08			ascending
AVN08			ascending
AVN08			ascending
AVN08			ascending
AVN08			ascending
AVN08			ascending
AVN08			ascending
AVN08	1985-07-01	19:38:02.184149	ascending
AVN08	1985-08-01	19:37:55.726289	ascending
